theta,kappa,components
0.02627777777777778,0.013688888888888888,1
0.02688888888888889,0.013688888888888888,1
0.0275,0.013688888888888888,1
0.02811111111111111,0.013688888888888888,1
0.028722222222222222,0.013688888888888888,1
0.029333333333333333,0.013688888888888888,1
0.029944444444444444,0.013688888888888888,1
0.030555555555555555,0.013688888888888888,1
0.031166666666666665,0.013688888888888888,1
0.03177777777777778,0.013688888888888888,1
0.03238888888888889,0.013688888888888888,1
0.033,0.013688888888888888,1
0.03361111111111111,0.013688888888888888,1
0.03422222222222222,0.013688888888888888,1
0.034833333333333334,0.013688888888888888,1
0.035444444444444445,0.013688888888888888,1
0.036055555555555556,0.013688888888888888,1
0.03666666666666667,0.013688888888888888,1
0.03727777777777778,0.013688888888888888,1
0.03788888888888889,0.013688888888888888,1
0.0385,0.013688888888888888,1
0.03911111111111111,0.013688888888888888,1
0.03972222222222222,0.013688888888888888,1
0.04033333333333333,0.013688888888888888,1
0.04094444444444444,0.013688888888888888,1
0.041555555555555554,0.013688888888888888,1
0.042166666666666665,0.013688888888888888,1
0.042777777777777776,0.013688888888888888,1
0.04338888888888889,0.013688888888888888,1
0.044,0.013688888888888888,1
0.04461111111111111,0.013688888888888888,1
0.04522222222222222,0.013688888888888888,1
0.04583333333333333,0.013688888888888888,1
0.04644444444444444,0.013688888888888888,1
0.04705555555555555,0.013688888888888888,1
0.04766666666666666,0.013688888888888888,1
0.048277777777777774,0.013688888888888888,1
0.048888888888888885,0.013688888888888888,1
0.0495,0.013688888888888888,1
0.05011111111111111,0.013688888888888888,1
0.050722222222222224,0.013688888888888888,1
0.051333333333333335,0.013688888888888888,1
0.051944444444444446,0.013688888888888888,1
0.05255555555555556,0.013688888888888888,1
0.05316666666666667,0.013688888888888888,1
0.05377777777777778,0.013688888888888888,1
0.05438888888888889,0.013688888888888888,1
0.055,0.013688888888888888,1
0.0,0.013933333333333332,1
0.0006111111111111111,0.013933333333333332,1
0.0012222222222222222,0.013933333333333332,1
0.0018333333333333333,0.013933333333333332,1
0.0024444444444444444,0.013933333333333332,1
0.0030555555555555553,0.013933333333333332,1
0.0036666666666666666,0.013933333333333332,1
0.004277777777777778,0.013933333333333332,1
0.004888888888888889,0.013933333333333332,1
0.0055,0.013933333333333332,1
0.0061111111111111106,0.013933333333333332,1
0.006722222222222222,0.013933333333333332,1
0.007333333333333333,0.013933333333333332,1
0.007944444444444445,0.013933333333333332,1
0.008555555555555556,0.013933333333333332,1
0.009166666666666667,0.013933333333333332,1
0.009777777777777778,0.013933333333333332,1
0.010388888888888888,0.013933333333333332,1
0.011,0.013933333333333332,1
0.01161111111111111,0.013933333333333332,1
0.012222222222222221,0.013933333333333332,1
0.012833333333333334,0.013933333333333332,1
0.013444444444444445,0.013933333333333332,1
0.014055555555555556,0.013933333333333332,1
0.014666666666666666,0.013933333333333332,1
0.015277777777777777,0.013933333333333332,1
0.01588888888888889,0.013933333333333332,1
0.0165,0.013933333333333332,1
0.01711111111111111,0.013933333333333332,1
0.017722222222222223,0.013933333333333332,1
0.018333333333333333,0.013933333333333332,1
0.018944444444444444,0.013933333333333332,1
0.019555555555555555,0.013933333333333332,1
0.020166666666666666,0.013933333333333332,1
0.020777777777777777,0.013933333333333332,1
0.021388888888888888,0.013933333333333332,1
0.022,0.013933333333333332,1
0.02261111111111111,0.013933333333333332,1
0.02322222222222222,0.013933333333333332,1
0.02383333333333333,0.013933333333333332,1
0.024444444444444442,0.013933333333333332,1
0.025055555555555557,0.013933333333333332,1
0.025666666666666667,0.013933333333333332,1
0.02627777777777778,0.013933333333333332,1
0.02688888888888889,0.013933333333333332,1
0.0275,0.013933333333333332,1
0.02811111111111111,0.013933333333333332,1
0.028722222222222222,0.013933333333333332,1
0.029333333333333333,0.013933333333333332,1
0.029944444444444444,0.013933333333333332,1
0.030555555555555555,0.013933333333333332,1
0.031166666666666665,0.013933333333333332,1
0.03177777777777778,0.013933333333333332,1
0.03238888888888889,0.013933333333333332,1
0.033,0.013933333333333332,1
0.03361111111111111,0.013933333333333332,1
0.03422222222222222,0.013933333333333332,1
0.034833333333333334,0.013933333333333332,1
0.035444444444444445,0.013933333333333332,1
0.036055555555555556,0.013933333333333332,1
0.03666666666666667,0.013933333333333332,1
0.03727777777777778,0.013933333333333332,1
0.03788888888888889,0.013933333333333332,1
0.0385,0.013933333333333332,1
0.03911111111111111,0.013933333333333332,1
0.03972222222222222,0.013933333333333332,1
0.04033333333333333,0.013933333333333332,1
0.04094444444444444,0.013933333333333332,1
0.041555555555555554,0.013933333333333332,1
0.042166666666666665,0.013933333333333332,1
0.042777777777777776,0.013933333333333332,1
0.04338888888888889,0.013933333333333332,1
0.044,0.013933333333333332,1
0.04461111111111111,0.013933333333333332,1
0.04522222222222222,0.013933333333333332,1
0.04583333333333333,0.013933333333333332,1
0.04644444444444444,0.013933333333333332,1
0.04705555555555555,0.013933333333333332,1
0.04766666666666666,0.013933333333333332,1
0.048277777777777774,0.013933333333333332,1
0.048888888888888885,0.013933333333333332,1
0.0495,0.013933333333333332,1
0.05011111111111111,0.013933333333333332,1
0.050722222222222224,0.013933333333333332,1
0.051333333333333335,0.013933333333333332,1
0.051944444444444446,0.013933333333333332,1
0.05255555555555556,0.013933333333333332,1
0.05316666666666667,0.013933333333333332,1
0.05377777777777778,0.013933333333333332,1
0.05438888888888889,0.013933333333333332,1
0.055,0.013933333333333332,1
0.0,0.014177777777777777,1
0.0006111111111111111,0.014177777777777777,1
0.0012222222222222222,0.014177777777777777,1
0.0018333333333333333,0.014177777777777777,1
0.0024444444444444444,0.014177777777777777,1
0.0030555555555555553,0.014177777777777777,1
0.0036666666666666666,0.014177777777777777,1
0.004277777777777778,0.014177777777777777,1
0.004888888888888889,0.014177777777777777,1
0.0055,0.014177777777777777,1
0.0061111111111111106,0.014177777777777777,1
0.006722222222222222,0.014177777777777777,1
0.007333333333333333,0.014177777777777777,1
0.007944444444444445,0.014177777777777777,1
0.008555555555555556,0.014177777777777777,1
0.009166666666666667,0.014177777777777777,1
0.009777777777777778,0.014177777777777777,1
0.010388888888888888,0.014177777777777777,1
0.011,0.014177777777777777,1
0.01161111111111111,0.014177777777777777,1
0.012222222222222221,0.014177777777777777,1
0.012833333333333334,0.014177777777777777,1
0.013444444444444445,0.014177777777777777,1
0.014055555555555556,0.014177777777777777,1
0.014666666666666666,0.014177777777777777,1
0.015277777777777777,0.014177777777777777,1
0.01588888888888889,0.014177777777777777,1
0.0165,0.014177777777777777,1
0.01711111111111111,0.014177777777777777,1
0.017722222222222223,0.014177777777777777,1
0.018333333333333333,0.014177777777777777,1
0.018944444444444444,0.014177777777777777,1
0.019555555555555555,0.014177777777777777,1
0.020166666666666666,0.014177777777777777,1
0.020777777777777777,0.014177777777777777,1
0.021388888888888888,0.014177777777777777,1
0.022,0.014177777777777777,1
0.02261111111111111,0.014177777777777777,1
0.02322222222222222,0.014177777777777777,1
0.02383333333333333,0.014177777777777777,1
0.024444444444444442,0.014177777777777777,1
0.025055555555555557,0.014177777777777777,1
0.025666666666666667,0.014177777777777777,1
0.02627777777777778,0.014177777777777777,1
0.02688888888888889,0.014177777777777777,1
0.0275,0.014177777777777777,1
0.02811111111111111,0.014177777777777777,1
0.028722222222222222,0.014177777777777777,1
0.029333333333333333,0.014177777777777777,1
0.029944444444444444,0.014177777777777777,1
0.030555555555555555,0.014177777777777777,1
0.031166666666666665,0.014177777777777777,1
0.03177777777777778,0.014177777777777777,1
0.03238888888888889,0.014177777777777777,1
0.033,0.014177777777777777,1
0.03361111111111111,0.014177777777777777,1
0.03422222222222222,0.014177777777777777,1
0.034833333333333334,0.014177777777777777,1
0.035444444444444445,0.014177777777777777,1
0.036055555555555556,0.014177777777777777,1
0.03666666666666667,0.014177777777777777,1
0.03727777777777778,0.014177777777777777,1
0.03788888888888889,0.014177777777777777,1
0.0385,0.014177777777777777,1
0.03911111111111111,0.014177777777777777,1
0.03972222222222222,0.014177777777777777,1
0.04033333333333333,0.014177777777777777,1
0.04094444444444444,0.014177777777777777,1
0.041555555555555554,0.014177777777777777,1
0.042166666666666665,0.014177777777777777,1
0.042777777777777776,0.014177777777777777,1
0.04338888888888889,0.014177777777777777,1
0.044,0.014177777777777777,1
0.04461111111111111,0.014177777777777777,1
0.04522222222222222,0.014177777777777777,1
0.04583333333333333,0.014177777777777777,1
0.04644444444444444,0.014177777777777777,1
0.04705555555555555,0.014177777777777777,1
0.04766666666666666,0.014177777777777777,1
0.048277777777777774,0.014177777777777777,1
0.048888888888888885,0.014177777777777777,1
0.0495,0.014177777777777777,1
0.05011111111111111,0.014177777777777777,1
0.050722222222222224,0.014177777777777777,1
0.051333333333333335,0.014177777777777777,1
0.051944444444444446,0.014177777777777777,1
0.05255555555555556,0.014177777777777777,1
0.05316666666666667,0.014177777777777777,1
0.05377777777777778,0.014177777777777777,1
0.05438888888888889,0.014177777777777777,1
0.055,0.014177777777777777,1
0.0,0.014422222222222222,1
0.0006111111111111111,0.014422222222222222,1
0.0012222222222222222,0.014422222222222222,1
0.0018333333333333333,0.014422222222222222,1
0.0024444444444444444,0.014422222222222222,1
0.0030555555555555553,0.014422222222222222,1
0.0036666666666666666,0.014422222222222222,1
0.004277777777777778,0.014422222222222222,1
0.004888888888888889,0.014422222222222222,1
0.0055,0.014422222222222222,1
0.0061111111111111106,0.014422222222222222,1
0.006722222222222222,0.014422222222222222,1
0.007333333333333333,0.014422222222222222,1
0.007944444444444445,0.014422222222222222,1
0.008555555555555556,0.014422222222222222,1
0.009166666666666667,0.014422222222222222,1
0.009777777777777778,0.014422222222222222,1
0.010388888888888888,0.014422222222222222,1
0.011,0.014422222222222222,1
0.01161111111111111,0.014422222222222222,1
0.012222222222222221,0.014422222222222222,1
0.012833333333333334,0.014422222222222222,1
0.013444444444444445,0.014422222222222222,1
0.014055555555555556,0.014422222222222222,1
0.014666666666666666,0.014422222222222222,1
0.015277777777777777,0.014422222222222222,1
0.01588888888888889,0.014422222222222222,1
0.0165,0.014422222222222222,1
0.01711111111111111,0.014422222222222222,1
0.017722222222222223,0.014422222222222222,1
0.018333333333333333,0.014422222222222222,1
0.018944444444444444,0.014422222222222222,1
0.019555555555555555,0.014422222222222222,1
0.020166666666666666,0.014422222222222222,1
0.020777777777777777,0.014422222222222222,1
0.021388888888888888,0.014422222222222222,1
0.022,0.014422222222222222,1
0.02261111111111111,0.014422222222222222,1
0.02322222222222222,0.014422222222222222,1
0.02383333333333333,0.014422222222222222,1
0.024444444444444442,0.014422222222222222,1
0.025055555555555557,0.014422222222222222,1
0.025666666666666667,0.014422222222222222,1
0.02627777777777778,0.014422222222222222,1
0.02688888888888889,0.014422222222222222,1
0.0275,0.014422222222222222,1
0.02811111111111111,0.014422222222222222,1
0.028722222222222222,0.014422222222222222,1
0.029333333333333333,0.014422222222222222,1
0.029944444444444444,0.014422222222222222,1
0.030555555555555555,0.014422222222222222,1
0.031166666666666665,0.014422222222222222,1
0.03177777777777778,0.014422222222222222,1
0.03238888888888889,0.014422222222222222,1
0.033,0.014422222222222222,1
0.03361111111111111,0.014422222222222222,1
0.03422222222222222,0.014422222222222222,1
0.034833333333333334,0.014422222222222222,1
0.035444444444444445,0.014422222222222222,1
0.036055555555555556,0.014422222222222222,1
0.03666666666666667,0.014422222222222222,1
0.03727777777777778,0.014422222222222222,1
0.03788888888888889,0.014422222222222222,1
0.0385,0.014422222222222222,1
0.03911111111111111,0.014422222222222222,1
0.03972222222222222,0.014422222222222222,1
0.04033333333333333,0.014422222222222222,1
0.04094444444444444,0.014422222222222222,1
0.041555555555555554,0.014422222222222222,1
0.042166666666666665,0.014422222222222222,1
0.042777777777777776,0.014422222222222222,1
0.04338888888888889,0.014422222222222222,1
0.044,0.014422222222222222,1
0.04461111111111111,0.014422222222222222,1
0.04522222222222222,0.014422222222222222,1
0.04583333333333333,0.014422222222222222,1
0.04644444444444444,0.014422222222222222,1
0.04705555555555555,0.014422222222222222,1
0.04766666666666666,0.014422222222222222,1
0.048277777777777774,0.014422222222222222,1
0.048888888888888885,0.014422222222222222,1
0.0495,0.014422222222222222,1
0.05011111111111111,0.014422222222222222,1
0.050722222222222224,0.014422222222222222,1
0.051333333333333335,0.014422222222222222,1
0.051944444444444446,0.014422222222222222,1
0.05255555555555556,0.014422222222222222,1
0.05316666666666667,0.014422222222222222,1
0.05377777777777778,0.014422222222222222,1
0.05438888888888889,0.014422222222222222,1
0.055,0.014422222222222222,1
0.0,0.014666666666666666,1
0.0006111111111111111,0.014666666666666666,1
0.0012222222222222222,0.014666666666666666,1
0.0018333333333333333,0.014666666666666666,1
0.0024444444444444444,0.014666666666666666,1
0.0030555555555555553,0.014666666666666666,1
0.0036666666666666666,0.014666666666666666,1
0.004277777777777778,0.014666666666666666,1
0.004888888888888889,0.014666666666666666,1
0.0055,0.014666666666666666,1
0.0061111111111111106,0.014666666666666666,1
0.006722222222222222,0.014666666666666666,1
0.007333333333333333,0.014666666666666666,1
0.007944444444444445,0.014666666666666666,1
0.008555555555555556,0.014666666666666666,1
0.009166666666666667,0.014666666666666666,1
0.009777777777777778,0.014666666666666666,1
0.010388888888888888,0.014666666666666666,1
0.011,0.014666666666666666,1
0.01161111111111111,0.014666666666666666,1
0.012222222222222221,0.014666666666666666,1
0.012833333333333334,0.014666666666666666,1
0.013444444444444445,0.014666666666666666,1
0.014055555555555556,0.014666666666666666,1
